model,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_roc_auc,test_roc_auc
Logistic Regression,0.8088888888888889,0.7924662402274343,0.6640625,0.6314102564102564,0.568561872909699,0.5267379679144385,0.6126126126126126,0.5743440233236151,0.8528980378501381,0.8300236577954248
Random Forest,1.0,0.7761194029850746,1.0,0.6072727272727273,1.0,0.446524064171123,1.0,0.514637904468413,1.0,0.8124537327031489
Gradient Boosting,0.8371555555555555,0.7953091684434968,0.7355573637103336,0.6482758620689655,0.6046822742474917,0.5026737967914439,0.6637298091042585,0.5662650602409639,0.8908827649874076,0.8322884905084096
Logistic Regression (balanced),0.7553777777777778,0.7327647476901208,0.5260621988611476,0.49834437086092714,0.8033444816053512,0.8048128342245989,0.6357861302276336,0.6155419222903885,0.8526565549410059,0.8298528246993597
Random Forest (balanced),0.9989333333333333,0.7668798862828714,0.9960026648900733,0.5537383177570093,1.0,0.6336898395721925,0.9979973297730307,0.5910224438902744,1.0,0.8150252884749782
Gradient Boosting (balanced),0.7944888888888889,0.7327647476901208,0.5776454420522217,0.49825783972125437,0.8434782608695652,0.7647058823529411,0.6856987493202827,0.6033755274261603,0.8923681035250675,0.8315715091809848
XGBoost,0.9896888888888888,0.7668798862828714,0.9858012170385395,0.5746753246753247,0.9752508361204013,0.4732620320855615,0.980497646267653,0.5190615835777126,0.9994049576068735,0.7980597501695388
XGBoost (balanced),0.9838222222222223,0.7533759772565742,0.9426229508196722,0.5314685314685315,1.0,0.6096256684491979,0.9704641350210971,0.5678704856787049,0.9999080065108068,0.7960537554808953
LightGBM,0.9242666666666667,0.7803837953091685,0.9046177138531416,0.6109215017064846,0.7993311036789298,0.4786096256684492,0.8487215909090909,0.5367316341829086,0.9796851490440289,0.8152931858301712
LightGBM (balanced),0.9022222222222223,0.7476901208244492,0.7416879795396419,0.5195876288659794,0.9698996655518395,0.6737967914438503,0.8405797101449275,0.5867287543655413,0.9773864455367771,0.8156633242049791
